id,page_title,section_title,section_index,response_text,created_at,updated_at,user_identifier,completion_token,email,prolific_id,study_type
47,What Have Language Models Learned?,Differences Over Time,4,"""Likelihoods"" shows the logits from both models plotted directly with a shared linear scale.

To better contrast the outputs, ""Differences"" shows logitA - logitB on the y-axis and mean(logitA, logitB) on the x-axis with separate linear scales.",2026-01-16 12:22:27.587573,2026-01-16 12:22:27.587573,,BZM73XSCYJ,,,
46,What Have Language Models Learned?,Differences Over Time,4,"""Likelihoods"" shows the logits from both models plotted directly with a shared linear scale.

To better contrast the outputs, ""Differences"" shows logitA - logitB on the y-axis and mean(logitA, logitB) on the x-axis with separate linear scales.",2026-01-16 12:22:19.782409,2026-01-16 12:22:19.782409,,BZM73XSCYJ,,,
45,What Have Language Models Learned?,How Can We Fix This?,3,"""Likelihoods"" shows the logits from both models plotted directly with a shared linear scale.

To better contrast the outputs, ""Differences"" shows logitA - logitB on the y-axis and mean(logitA, logitB) on the x-axis with separate linear scales.",2026-01-16 12:22:12.249274,2026-01-16 12:22:12.249274,,BZM73XSCYJ,,,
44,What Have Language Models Learned?,What's in a Name? ,2,Cool!,2026-01-16 12:22:02.215967,2026-01-16 12:22:02.215967,,BZM73XSCYJ,,,
43,What Have Language Models Learned?,Cattle or Clothes?,1,baseExplanation,2026-01-16 12:21:27.948383,2026-01-16 12:21:27.948383,,BZM73XSCYJ,,,
42,What Have Language Models Learned?,Large Language Models ,0,baseExplanation,2026-01-16 12:21:14.543201,2026-01-16 12:21:14.543201,,BZM73XSCYJ,,,
41,What Have Language Models Learned?,Differences Over Time,4,Cool!,2026-01-16 12:10:21.162395,2026-01-16 12:10:21.162395,,3UGL7VNH3X,,,
40,What Have Language Models Learned?,Differences Over Time,4,Cool!,2026-01-16 12:10:19.639926,2026-01-16 12:10:19.639926,,3UGL7VNH3X,,,
39,What Have Language Models Learned?,How Can We Fix This?,3,Cool!,2026-01-16 12:10:13.742926,2026-01-16 12:10:13.742926,,3UGL7VNH3X,,,
38,What Have Language Models Learned?,What's in a Name? ,2,Cool! ,2026-01-16 12:10:06.979632,2026-01-16 12:10:06.979632,,3UGL7VNH3X,,,
37,What Have Language Models Learned?,Cattle or Clothes?,1,COol!,2026-01-16 12:09:59.599147,2026-01-16 12:09:59.599147,,3UGL7VNH3X,,,
36,What Have Language Models Learned?,Large Language Models ,0,Cool!,2026-01-16 12:09:51.833352,2026-01-16 12:09:51.833352,,3UGL7VNH3X,,,
35,What Have Language Models Learned? (Static),Large Language Models ,0,Cool!,2026-01-16 10:39:14.184084,2026-01-16 10:39:14.184084,tailiamalloy@gmail.com,U1JXQKACTJ,,,
34,What Have Language Models Learned?,Differences Over Time,4,This was fun ,2026-01-16 10:16:23.758404,2026-01-16 10:16:23.758404,,8URCSA5X6T,,,
8,What Have Language Models Learned?,Differences Over Time,4,This was fun ,2026-01-15 15:31:22.745393,2026-01-15 15:31:22.745393,,,,,
7,What Have Language Models Learned?,Differences Over Time,4,Cool!,2026-01-15 15:31:14.890081,2026-01-15 15:31:14.890081,,,,,
6,What Have Language Models Learned?,Differences Over Time,4,Cool!,2026-01-15 15:29:54.237183,2026-01-15 15:29:54.237183,,,,,
5,What Have Language Models Learned?,Differences Over Time,4,Cool!,2026-01-15 15:29:50.758388,2026-01-15 15:29:50.758388,,,,,
4,What Have Language Models Learned?,How Can We Fix This?,3,This is cool ,2026-01-15 15:29:03.642068,2026-01-15 15:29:03.642068,,,,,
3,What Have Language Models Learned?,What's in a Name? ,2,This is cool ,2026-01-15 15:28:32.182692,2026-01-15 15:28:32.182692,,,,,
2,What Have Language Models Learned?,Cattle or Clothes?,1,Nothing,2026-01-15 15:26:29.415937,2026-01-15 15:26:29.415937,,,,,
1,What Have Language Models Learned?,Large Language Models ,0,No,2026-01-15 15:26:07.516822,2026-01-15 15:26:07.516822,,,,,
